Feature,Importance
PAY_0,0.11538407426011933
PAY_AMT1,0.06586348144043229
PAY_AMT2,0.04950307078232321
AGE,0.048908776150663254
LIMIT_BAL,0.048799324735941514
PAY_AMT5,0.0461263571051604
BILL_AMT6,0.04464692894086886
PAY_AMT4,0.043966598869157825
BILL_AMT3,0.04211962265019534
BILL_AMT4,0.04154055372037129
PAY_AMT3,0.04152748945412935
BILL_AMT1,0.040739382277289723
PAY_AMT6,0.04034052147171591
BILL_AMT2,0.040320323134052295
BILL_AMT5,0.03935406555307582
SEX,0.03928489787593048
EDUCATION,0.03642877252849692
PAY_5,0.03564368944282659
PAY_3,0.03183764951124527
MARRIAGE,0.031140580376847287
PAY_2,0.028158175311762637
PAY_4,0.026495711267918078
PAY_6,0.021869953139476303
